	created_at	full_text
28	Sat Sep 26 08:47:37 +0000 2020	Τριάντα ένα χρόνια μετά. Η ίδια αγάπη ζωντανή στη μνήμη μου. https://t.co/C3KQ6Klke6
29	Tue Sep 08 17:12:44 +0000 2020	I presented to the @EPPgroup evidence of the provocative actions of Turkey in the Eastern Mediterranean. Greece is an advocate for dialogue, since we have absolute faith in our positions. However, real dialogue cannot be pursued under threat or violations of our sovereign rights. https://t.co/CpBc4HYJu7
30	Mon Aug 17 15:36:22 +0000 2020	RT @StefTsitsipas: Όσοι αγαπάμε μπορεί να είναι πιο ευάλωτοι από εμάς στον κορωνοϊό. Γι' αυτό αγκάλιασε τα μέτρα προστασίας. Για να μπορέσο…
31	Tue Jul 07 12:29:56 +0000 2020	Η Ελλάδα απέδειξε ότι μπορεί να αλλάξει, μπορεί να τρέξει με μεγάλη ταχύτητα προς το μέλλον και να δείξει πολύ μεγάλη προσαρμοστικότητα. Αν κάτι φάνηκε αυτούς τους 12 μήνες, είναι ότι ναι, μπορούμε να κάνουμε πολλά πράγματα και μπορούμε να αλλάξουμε τη χώρα. https://t.co/zVSxUwhfrB
32	Tue Jul 07 12:26:52 +0000 2020	Μετά από σχεδόν 3 μήνες πειθαρχίας, παντού στον κόσμο βλέπουμε φαινόμενα χαλάρωσης στα μέτρα προστασίας για τον κορωνοϊό. Όμως έχουμε μία υποχρέωση απέναντι στους συμπολίτες μας, κυρίως στους ηλικιωμένους, τους χρόνια πάσχοντες, να είμαστε υπεύθυνοι στις συμπεριφορές μας.
33	Tue Jul 07 12:23:24 +0000 2020	Οι φόροι μειώθηκαν. Ξεκίνησαν σημαντικές επενδύσεις στη χώρα. Η κατάσταση στο μέτωπο της τάξης και της ασφάλειας αναμφισβήτητα βελτιώθηκε. Αυτές ήταν κεντρικές μας δεσμεύσεις προς τον ελληνικό λαό, και παρά τις δυσκολίες, παραμείναμε συνεπείς στην υλοποίησή τους. https://t.co/Kl36oWOg2h
34	Tue Jul 07 12:16:48 +0000 2020	Στο τέλος της εβδομάδας θα έχουμε ψηφίσει συνολικά 85 νομοσχέδια με σημαντικές μεταρρυθμιστικές πρωτοβουλίες. Τους 12 αυτούς μήνες αντιμετωπίσαμε κρίσεις, αλλά ταυτόχρονα ήμασταν πιστοί στις δεσμεύσεις μας προς τους πολίτες, να προτάξουμε την οικονομία και τις μεγάλες αλλαγές.
35	Tue Jul 07 12:12:00 +0000 2020	Η χώρα σήμερα είναι πιο ισχυρή από ότι ήταν πριν από 6 μήνες. Έχει περισσότερο θεσμικό κεφάλαιο. Έχει περισσότερη εμπιστοσύνη στις δυνατότητές της. Και έχει την αισιοδοξία ότι μπορεί να τα βγάλει πέρα σε δύσκολες καταστάσεις. https://t.co/ns0NiRZ4Fq
36	Mon Jun 29 16:25:58 +0000 2020	Στην προσπάθεια αντιμετώπισης του κορωνοϊού στρατεύτηκε ολόκληρη η ελληνική κοινωνία. Χωρίς τη συμμετοχή της πλειοψηφίας και κυρίως των νέων, δεν θα μπορούσαμε να περιορίσουμε το πρώτο κύμα της πανδημίας. Διαδικτυακή συζήτηση της @ONNED με θέμα «Οι νέοι που νίκησαν την πανδημία». https://t.co/M9WI7TVSGU
37	Wed Jun 10 18:04:48 +0000 2020	Οι οργανώσεις μας σε όλη την Ελλάδα, ενσωματώνοντας ψηφιακές υπηρεσίες στην καθημερινή τους λειτουργία, βρίσκονται ακόμα πιο κοντά στις τοπικές κοινωνίες για να μεταφέρουν τις αγωνίες και τις επισημάνσεις τους, τις προσδοκίες και τις προτάσεις τους. https://t.co/Rro6nJVcXo https://t.co/r7PZXv4rpt
38	Sat May 02 12:17:41 +0000 2020	Είναι σημαντικό το κόμμα να είναι εναρμονισμένο με το ρυθμό που δίνει η ίδια η κοινωνία. Να εκπέμπουμε μήνυμα ενότητας, να ενημερώνουμε για τις πρωτοβουλίες μας, να μεταφέρουμε τα μηνύματα της κοινωνίας και να διορθώνουμε τα λάθη οπότε αυτά επισημαίνονται. https://t.co/8DqSM5jFhN
39	Sun Apr 26 08:54:14 +0000 2020	Ένα όμορφο βίντεο για τον κορωνοϊό - η παιδική μάτια βρίσκει τον πιο δημιουργικό τρόπο να περιγράψει την πραγματικότητα. Τα παιδιά αναγκάζονται κι αυτά να μείνουν σπίτι, κανένας όμως δεν μπορεί να περιορίσει τη φαντασία τους. Μπράβο στη Μέλπω και στη Λουίζα! https://t.co/KE2CQ6XGA7
40	Thu Apr 16 13:48:30 +0000 2020	On behalf of the Greek people, I would like to thank @harari_yuval for his kind words. During these trying times, everyone has had to make sacrifices, but we stand united and determined in the fight against COVID-19. https://t.co/Z8jkQlEerM
41	Thu Mar 26 17:31:55 +0000 2020	Αυτές τις μέρες, φροντίζουμε τη σωματική αλλά και την ψυχολογική μας υγεία. Η Α΄ Ψυχιατρική Κλινική της Ιατρικής Σχολής του Εθνικού &amp; Καποδιστριακού Πανεπιστημίου Αθηνών εκπόνησε οδηγίες Ψυχολογικής Υποστήριξης Πολιτών λόγω του κορονοϊού. Δείτε τις εδώ: https://t.co/zYRfylX4pF https://t.co/nIjzrj09sg
42	Thu Mar 12 15:44:22 +0000 2020	Ευχαριστούμε Στέφανε! Είναι σημαντικό να συμβάλουμε όλοι, αναλογιζόμενοι ότι δεν είμαστε υπεύθυνοι μόνο για τον εαυτό μας. Αλλά και για όλες τις Ελληνίδες και όλους τους Έλληνες δίπλα μας. https://t.co/Jzf2e34D30
43	Sun Feb 23 10:53:54 +0000 2020	Κάποιοι επενδύουν στις επιτυχίες μας και θέλουν γρήγορες εκλογές. Είναι η καλύτερη τακτική, υποστηρίζουν. Κάνουν μεγάλο λάθος. Οι πολίτες δεν μας εξέλεξαν για να κάνουμε τακτικισμούς, αλλά για να φέρουμε αποτέλεσμα. Και θα φέρουμε! https://t.co/bgXTD5s8tk
44	Sun Feb 23 10:48:13 +0000 2020	Ψηφίζεται άμεσα ο νέος νόμος για τις συγκεντρώσεις και πορείες στο κέντρο των πόλεων. Στο εξής, το δικαίωμα κάποιων να διαδηλώνουν δεν θα γίνεται εμπόδιο για την καθημερινή ζωή και κίνηση των υπολοίπων. Η Ελλάδα θα γίνει μία σύγχρονη χώρα και η Αθήνα μία ευρωπαϊκή πρωτεύουσα.
45	Sun Feb 23 10:45:42 +0000 2020	Τα σύνορα πλέον φυλάσσονται πιο αποτελεσματικά. Το Λιμενικό ενισχύθηκε σε προσωπικό, σκάφη και τεχνικά μέσα. Το νέο πλαίσιο επιταχύνει τις διαδικασίες ασύλου. Δρομολογούνται νέες ελεγχόμενες δομές. Τα έργα ξεκινούν και θα ολοκληρωθούν. Δεν υπάρχει περιθώριο για πισωγύρισμα.
